,Household No.,HHLD Visit,Meal,Dish List
0,10001,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
1,10001,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
2,10001,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', nan]"
3,10002,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
4,10002,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
5,10002,Third WE,Breakfast,"['Boiled Rice', 'Fermented Fish', 'Water']"
6,10004,First WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice']"
7,10004,Second WD,Breakfast,"['Boiled Fish', 'Boiled Rice']"
8,10004,Third WE,Breakfast,"['Water', 'Boiled Rice', 'Boiled Fish']"
9,10005,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Sweets', nan]"
10,10005,Second WD,Breakfast,"['Boiled Rice', 'Boiled Pork', 'Sweets', nan]"
11,10005,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, 'Sweets']"
12,10006,First WD,Breakfast,"['Fried Egg', nan, 'Fried Processed Meat', nan, 'Boiled Rice']"
13,10006,Second WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
14,10006,Third WE,Breakfast,"['Boiled Chicken', nan, nan, 'Boiled Rice', 'Water']"
15,10007,First WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', nan, nan, nan, 'Water']"
16,10007,Second WD,Breakfast,"['Boiled Rice', 'Beef', nan, nan, 'Water']"
17,10007,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Vegetable', nan, 'Water']"
18,10008,Weekday First,Breakfast,"['Baked Bread', 'Sauteed Noodles', nan, nan, nan, 'Water']"
19,10008,Weekday Second,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
20,10008,Weekend,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
21,10009,First WD,Breakfast,"['Fried Fish', nan, 'Water', 'Boiled Rice']"
22,10009,Second WD,Breakfast,"['Duck', nan, nan, nan, 'Boiled Rice', 'Water']"
23,10009,Third WE,Breakfast,"['Boiled Chicken', nan, nan, nan, 'Boiled Rice']"
24,10011,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Coffee', nan, 'Water']"
25,10011,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, nan, 'Coffee', nan, nan]"
26,10011,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Coffee', nan]"
27,10101,Weekday First,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
28,10101,Weekday Second,Breakfast,"['Boiled Rice', 'Boiled Fish', nan, 'Water']"
29,10101,Weekend,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, 'Water']"
30,10104,First WD,Breakfast,['Boiled Rice']
31,10104,Second WD,Breakfast,"['Boiled Vegetable', nan, 'Boiled Rice']"
32,10104,Third WE,Breakfast,"['Milk', nan, 'Boiled Rice', 'Water']"
33,10105,First WD,Breakfast,"['Boiled Rice', 'Fried Beef', 'Fried Egg', nan]"
34,10105,Second WD,Breakfast,"['Boiled Rice', 'Fried Beef', 'Fried Egg', nan]"
35,10105,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
36,10106,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
37,10106,Second WD,Breakfast,"['Boiled Vegetable', nan, nan, nan, nan, 'Boiled Rice']"
38,10106,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
39,10107,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
40,10107,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Beef', nan, nan, 'Water']"
41,10107,Third WE,Breakfast,"['Boiled Rice', nan, 'Water']"
42,10108,First WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, 'Milk', nan]"
43,10108,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
44,10108,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, nan, 'Water']"
45,10109,First WD,Breakfast,"['Fried Fish', nan, 'Sweets', nan, 'Boiled Rice']"
46,10109,Second WD,Breakfast,"['Boiled Noodles', nan, 'Boiled Rice', 'Others', 'Water']"
47,10109,Third WE,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
48,10111,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
49,10111,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
50,10111,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
51,11001,First WD,Breakfast,"['Fried Fish', 'Processed Meat', nan, 'Boiled Rice']"
52,11001,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
53,11001,Third WE,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice']"
54,11002,First WD,Breakfast,"['Boiled Rice', 'Fish', 'Water']"
55,11002,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
56,11002,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
57,11004,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice']"
58,11004,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
59,11004,Third WE,Breakfast,"['Baked Bread', 'Fried Processed Meat', nan]"
60,11005,First WD,Breakfast,"['Canned Processed Meat', nan, 'Fried Egg', nan]"
61,11005,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
62,11005,Third WE,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Boiled Noodles', nan, nan]"
63,11006,First WD,Breakfast,"['Boiled Rice', 'Processed Meat', nan, 'Milk', nan]"
64,11006,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Milk', nan]"
65,11006,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork']"
66,11007,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan]"
67,11007,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
68,11007,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Fish', nan, nan]"
69,11008,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Processed Meat', nan, 'Water']"
70,11008,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Fish', nan, 'Cereals', nan]"
71,11008,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg']"
72,11009,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
73,11009,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
74,11009,Third WE,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
75,11010,First WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, nan, 'Water']"
76,11010,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
77,11010,Third WE,Breakfast,"['Fried Pork', nan, 'Boiled Rice', 'Milk', nan, 'Condiment', 'Condiment']"
78,11011,First WD,Breakfast,"['Sauteed Noodles', nan, nan, nan, 'Vegetable', 'Milk', 'Water']"
79,11011,Second WD,Breakfast,"['Boiled Fish', nan, nan, 'Boiled Rice', 'Water']"
80,11011,Third WE,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Sweets']"
81,11101,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
82,11101,Second WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
83,11101,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
84,11102,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
85,11102,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
86,11102,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, 'Water']"
87,11103,First WD,Breakfast,"['Boiled Vegetable', 'Boiled Rice']"
88,11103,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', 'Milk', nan]"
89,11103,Third WE,Breakfast,"['Boiled Rice', 'Water']"
90,11104,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
91,11104,Second WD,Breakfast,"['Boiled Rice', 'Processed Meat', nan, 'Milk', nan]"
